method,delta,coverage_mean,coverage_std,coverage_min,coverage_max,avg_width_mean,avg_width_std
AMRI,0.0,0.9481842105263157,0.0064435396649621,0.9385,0.962,0.2682958504856126,0.18054506084746924
AMRI,0.25,0.9503888888888888,0.0082791572303251,0.9225,0.9665,0.3073371388888889,0.2141415540479378
AMRI,0.5,0.9505131578947369,0.00872204944465096,0.918,0.965,0.36198664702154304,0.26241103284730966
AMRI,0.75,0.9522638888888889,0.008951046316421907,0.932,0.967,0.4277657777777778,0.33781397024043625
AMRI,1.0,0.9530921052631579,0.009604936275347439,0.9305,0.9685,0.4788810469805272,0.4141015092676857
AMRI_v2,0.0,0.9472361111111111,0.005529771515702365,0.938,0.958,0.2668428888888889,0.18372402497236023
AMRI_v2,0.25,0.9485555555555555,0.007082955171978284,0.9265,0.96,0.3044153333333333,0.21282122806068277
AMRI_v2,0.5,0.947763888888889,0.008187521961681482,0.9185,0.9635,0.3576363055555556,0.2634007759179177
AMRI_v2,0.75,0.9486111111111111,0.008111817755693671,0.928,0.9665,0.4184321111111111,0.3276773760134701
AMRI_v2,1.0,0.9494166666666667,0.007578635384138419,0.9325,0.9665,0.46563683333333333,0.41027407014263034
Bayesian,0.0,0.9478552631578946,0.006781241908438898,0.937,0.962,0.26521919870492444,0.17670163003457445
Bayesian,0.25,0.9404444444444445,0.01905172574777027,0.891,0.958,0.2929192222222222,0.2043040055494488
Bayesian,0.5,0.9206052631578947,0.05221255387702572,0.7915,0.9585,0.32361669771462787,0.23061473565708954
Bayesian,0.75,0.9023888888888888,0.08103315997709219,0.7215,0.9605,0.3595538333333333,0.268169545736115
Bayesian,1.0,0.8883684210526317,0.09379071614652155,0.6855,0.959,0.3778581418648142,0.3008934406026033
Bootstrap_t,0.0,0.9439583333333333,0.006248857038348219,0.935,0.955,0.2700736944444444,0.189469686115419
Bootstrap_t,0.25,0.9423888888888889,0.009316736944960278,0.917,0.9585,0.3135480277777778,0.22839310657979728
Bootstrap_t,0.5,0.9397083333333334,0.009738271333836826,0.908,0.953,0.3729283333333333,0.29250175057107414
Bootstrap_t,0.75,0.9383333333333334,0.010850938076629912,0.9045,0.9515,0.4407202777777778,0.372798182145906
Bootstrap_t,1.0,0.9354444444444445,0.013142503445896339,0.909,0.955,0.5043699444444445,0.4688324823225056
Naive_OLS,0.0,0.9478552631578946,0.006781241908438898,0.937,0.962,0.2652204050136041,0.17670245317142114
Naive_OLS,0.25,0.9404444444444445,0.01905172574777027,0.891,0.958,0.2929192222222222,0.2043040055494488
Naive_OLS,0.5,0.9206052631578947,0.05221255387702572,0.7915,0.9585,0.3236180622310063,0.23061541913546602
Naive_OLS,0.75,0.9023888888888888,0.08103315997709219,0.7215,0.9605,0.3595538333333333,0.268169545736115
Naive_OLS,1.0,0.8883684210526317,0.09379071614652155,0.6855,0.959,0.3778599049029195,0.30089462396761457
Pairs_Bootstrap,0.0,0.941328947368421,0.008077560104412638,0.924,0.956,0.25969401552096183,0.17025448164963536
Pairs_Bootstrap,0.25,0.9403055555555555,0.008733578695208303,0.921,0.954,0.2941619166666667,0.1994389437681009
Pairs_Bootstrap,0.5,0.9391578947368422,0.008766571383754179,0.9165,0.954,0.3419141470385519,0.237000524578384
Pairs_Bootstrap,0.75,0.9388888888888888,0.009733675793062157,0.9145,0.9525,0.3983513055555556,0.2957123764456478
Pairs_Bootstrap,1.0,0.9368684210526316,0.010228262520892832,0.914,0.9495,0.4418194994698276,0.35782265587106465
Sandwich_HC0,0.0,0.9408611111111111,0.008872599161069738,0.9225,0.9555,0.2572506666666666,0.17049863745848526
Sandwich_HC0,0.25,0.9428472222222223,0.009695226693322892,0.9135,0.955,0.29342661111111107,0.19734013042203885
Sandwich_HC0,0.5,0.9413611111111112,0.011604562594767356,0.901,0.955,0.3428622777777778,0.24133512618083724
Sandwich_HC0,0.75,0.9420416666666667,0.012438635088189657,0.8985,0.96,0.39927275,0.29681821476225145
Sandwich_HC0,1.0,0.9426388888888889,0.01264098273254276,0.8975,0.959,0.4428593611111111,0.37021689303103333
Sandwich_HC3,0.0,0.9476052631578947,0.006783483413864368,0.9385,0.964,0.26943784972472395,0.1828143567588636
Sandwich_HC3,0.25,0.9488194444444444,0.005762133505888475,0.934,0.9585,0.30701533333333336,0.21612171211743497
Sandwich_HC3,0.5,0.9482631578947368,0.006115705128408238,0.9315,0.9635,0.35821899907023913,0.2601165282287441
Sandwich_HC3,0.75,0.9490277777777778,0.007397822502451497,0.9315,0.965,0.42042291666666665,0.329880139096038
Sandwich_HC3,1.0,0.9486184210526316,0.008065973082267803,0.924,0.963,0.4677110966490594,0.4007064515555356
Wild_Bootstrap,0.0,0.9366249999999999,0.012419095320168397,0.908,0.953,0.25087194444444444,0.16260039589759295
Wild_Bootstrap,0.25,0.9367083333333333,0.013845254473232742,0.8955,0.9575,0.28426511111111114,0.18545565731474586
Wild_Bootstrap,0.5,0.9351666666666666,0.016447318496164844,0.878,0.953,0.3309025555555556,0.22487628955449443
Wild_Bootstrap,0.75,0.9349583333333332,0.017923797030763345,0.868,0.953,0.3841533611111111,0.27536797980937155
Wild_Bootstrap,1.0,0.9344861111111111,0.018592812017824475,0.8665,0.954,0.4239670555555556,0.3442405314542181
